crisis_nm,date_month,date_year,glide,url
Ethiopia: Yellow Fever Outbreak ,May,2013,EP-2013-000067-ETH,https://api.reliefweb.int/v1/disasters/12720
South Sudan: Meningitis Outbreak ,May,2013,EP-2013-000065-SSD,https://api.reliefweb.int/v1/disasters/12700
Horn of Africa: Polio Outbreak ,May,2013,EP-2013-000064-KEN,https://api.reliefweb.int/v1/disasters/12659
Namibia: Drought ,May,2013,DR-2013-000062-NAM,https://api.reliefweb.int/v1/disasters/12627
Central African Republic: Measles Outbreak ,May,2013,EP-2013-000059-CAF,https://api.reliefweb.int/v1/disasters/13103
Uganda: Cholera Outbreak ,May,2013,EP-2013-000058-UGA,https://api.reliefweb.int/v1/disasters/12602
Tropical Cyclone Mahasen ,May,2013,TC-2013-000060-LKA,https://api.reliefweb.int/v1/disasters/12589
Uganda: Floods ,May,2013,FL-2013-000055-UGA,https://api.reliefweb.int/v1/disasters/12550
Jammu and Kashmir: Earthquake ,May,2013,EQ-2013-000056-IND,https://api.reliefweb.int/v1/disasters/12576
Marshall Islands: Drought ,May,2013,DR-2013-000053-MHL,https://api.reliefweb.int/v1/disasters/12518
China: Floods and Landslides ,Apr,2013,FL-2013-000054-CHN,https://api.reliefweb.int/v1/disasters/12721
Somalia: Floods ,Apr,2013,FL-2013-000052-SOM,https://api.reliefweb.int/v1/disasters/12513
Ecuador: Floods and Landslides ,Apr,2013,FL-2013-000051-ECU,https://api.reliefweb.int/v1/disasters/12505
Afghanistan: Earthquake ,Apr,2013,EQ-2013-000048-AFG,https://api.reliefweb.int/v1/disasters/12464
Ethiopia: Floods ,Apr,2013,FL-2013-000050-ETH,https://api.reliefweb.int/v1/disasters/12487
China: Earthquake ,Apr,2013,EQ-2013-000046-CHN,https://api.reliefweb.int/v1/disasters/12432
Ghana: Floods ,Apr,2013,FL-2013-000041-GHA,https://api.reliefweb.int/v1/disasters/12417
Iran/Pakistan: Earthquake ,Apr,2013,EQ-2013-000043-IRN,https://api.reliefweb.int/v1/disasters/12403
Solomon Islands: Dengue Outbreak ,Apr,2013,EP-2013-000039-SLB,https://api.reliefweb.int/v1/disasters/12391
Congo: Cholera Outbreak ,Apr,2013,EP-2013-000040-COG,https://api.reliefweb.int/v1/disasters/12389
Iran: Earthquake ,Apr,2013,EQ-2013-000037-IRN,https://api.reliefweb.int/v1/disasters/12344
Argentina: Severe Local Storm ,Apr,2013,ST-2013-000035-ARG,https://api.reliefweb.int/v1/disasters/12309
Kenya: Floods ,Mar,2013,FL-2013-000038-KEN,https://api.reliefweb.int/v1/disasters/12363
Madagascar: Locusts ,Mar,2013,IN-2013-000034-MDG,https://api.reliefweb.int/v1/disasters/12308
Georgia: Severe Local Storm ,Mar,2013,ST-2013-000033-GEO,https://api.reliefweb.int/v1/disasters/12291
Bangladesh: Severe Local Storm ,Mar,2013,ST-2013-000032-BGD,https://api.reliefweb.int/v1/disasters/12272
Serbia: Floods ,Feb,2013,FF-2013-000029-SRB,https://api.reliefweb.int/v1/disasters/12207
